brand,title,url,rating,totalReviews,price,image
Samsung,Samsung Galaxy S6 G920A 32GB Unlocked GSM 4G LTE Octa-Core Android Smartphone with 16MP Camera - Black Sapphire,https://www.amazon.com/Samsung-G920A-Unlocked-Octa-Core-Smartphone/dp/B00WHE2WCG,2.9,338,219.88,prod_imgs/B00WHE2WCG.jpg
Samsung,Samsung Galaxy S6 Edge G925F 32GB Unlocked Phone - Retail Packaging - Black Sapphire,https://www.amazon.com/Samsung-Galaxy-G925F-Unlocked-Phone/dp/B00WIYFBWI,2.3,7,630.71,prod_imgs/B00WIYFBWI.jpg
Motorola,Motorola Moto E LTE - No Contract Phone (U.S. Cellular),https://www.amazon.com/Motorola-Moto-LTE-Contract-Cellular/dp/B00XQVDW6Y,3.7,64,89.99,prod_imgs/B00XQVDW6Y.jpg
Samsung,"Samsung Galaxy S6 Active, 32 GB , Grey (AT&T)",https://www.amazon.com/Samsung-Galaxy-S6-Active-Grey/dp/B00ZE8HRYK,3.7,325,585.28,prod_imgs/B00ZE8HRYK.jpg
Sony,Sony Experia Z3+ 4G LTE Unlocked 32GB Octa Core 3GB RAM E6553 (LTE USA Latin Caribbean Europe) Waterproof 23 MP No Warranty (White),https://www.amazon.com/Sony-Xperia-Z3-5-2-Inch-Smartphone/dp/B010V43VFA,3.0,41,144.9,prod_imgs/B010V43VFA.jpg
Samsung,"Samsung Galaxy Note 5, Black  64GB (Verizon Wireless)",https://www.amazon.com/Samsung-Galaxy-Note-Verizon-Wireless/dp/B013XAPUW6,3.6,799,399.99,prod_imgs/B013XAPUW6.jpg
Samsung,"Samsung Galaxy J5 SM-J500H/DS GSM Factory Unlocked Smartphone, International Version (Gold)",https://www.amazon.com/Samsung-SM-J500H-Unlocked-Smartphone-International/dp/B014GCG150,4.1,645,148.98,prod_imgs/B014GCG150.jpg
Samsung,Samsung Galaxy S6 G920v 32GB Verizon Wireless CDMA Smartphone - Gold Platinum (Renewed),https://www.amazon.com/Samsung-Galaxy-Verizon-Wireless-Smartphone/dp/B014V5XDV2,3.2,90,121.46,prod_imgs/B014V5XDV2.jpg
Samsung,Samsung Galaxy Mega 6.3 I527 16GB Unlocked GSM 4G LTE Smartphone w/ 8MP Camera - White,https://www.amazon.com/Samsung-Galaxy-Unlocked-Smartphone-Camera/dp/B014VLTTC8,2.8,32,290.0,prod_imgs/B014VLTTC8.jpg
Motorola,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Gray (Renewed),https://www.amazon.com/Motorola-Droid-Turbo-Android-Smartphone/dp/B015ROR4PC,3.5,36,74.99,prod_imgs/B015ROR4PC.jpg
Nokia,"Nokia 105 RM-1135 Dual-Band (850/1900 MHz) Factory Unlocked Mobile Phone, Black, 2G Network Only.",https://www.amazon.com/Nokia-RM-1135-Dual-Band-Factory-Unlocked/dp/B0172EEAQQ,2.9,127,46.83,prod_imgs/B0172EEAQQ.jpg
Samsung,Samsung Galaxy Note 5 SM-N920V Gold 32GB (Verizon Wireless),https://www.amazon.com/Samsung-Galaxy-SM-N920V-Verizon-Wireless/dp/B018OMP8ES,3.6,799,300.55,prod_imgs/B018OMP8ES.jpg
Motorola,Motorola Droid Turbo 2 XT1585 32GB - Verizon (Black),https://www.amazon.com/Motorola-Droid-Turbo-XT1585-Color/dp/B019VHBB32,3.3,58,239.99,prod_imgs/B019VHBB32.jpg
Motorola,Motorola Droid Turbo - 32GB Android Smartphone - Verizon - Black (Renewed),https://www.amazon.com/Motorola-Droid-Turbo-Smartphone-Refurbished/dp/B01ATTBXY8,3.8,209,74.99,prod_imgs/B01ATTBXY8.jpg
Apple,"Apple iPhone 6S Plus, 128GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Plus-Unlocked-128GB/dp/B01AUOS8BI,2.5,7,239.98,prod_imgs/B01AUOS8BI.jpg
Samsung,Samsung Galaxy S7 32GB Unlocked (Verizon Wireless) - Gold,https://www.amazon.com/Samsung-Galaxy-Unlocked-Verizon-Wireless/dp/B01CJ3SCJ6,3.2,250,284.98,prod_imgs/B01CJ3SCJ6.jpg
Apple,"Apple iPhone 6S, 64GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-6S-Unlocked-64GB/dp/B01CR1FQMG,3.8,1,160.08,prod_imgs/B01CR1FQMG.jpg
Samsung,"Samsung Galaxy S7 SM-G930A AT&T Unlocked Smartphone, (Black Onyx)",https://www.amazon.com/Samsung-Galaxy-SM-G930A-Unlocked-Smartphone/dp/B01CYYYRNK,3.1,394,248.7,prod_imgs/B01CYYYRNK.jpg
Samsung,Samsung Galaxy S6 SM-G920V 32GB Sapphire Black Smartphone for Verizon (Renewed),https://www.amazon.com/Samsung-SM-G920V-Sapphire-Smartphone-Verizon/dp/B01D0JV7AO,3.5,1,119.95,prod_imgs/B01D0JV7AO.jpg
Samsung,Samsung Galaxy S6 SM-G920V 32GB Gold Smartphone for Verizon (Renewed),https://www.amazon.com/Samsung-SM-G920V-Smartphone-Certified-Refurbished/dp/B01D0JXCKW,3.5,1,159.99,prod_imgs/B01D0JXCKW.jpg
Samsung,Samsung Galaxy S7 Edge G935FD 32GB Unlocked GSM 4G LTE,https://www.amazon.com/SAMSUNG-GALAXY-INTERNATIONAL-VERSION-WARRANTY/dp/B01D1J9BGU,3.8,783,399.0,prod_imgs/B01D1J9BGU.jpg
Samsung,Samsung Galaxy S6 SM-G920A 32GB Unlocked GSM 4G LTE Octa-Core Smartphone w/ 16MP Camera - White (Renewed),https://www.amazon.com/Samsung-SM-G920A-Unlocked-Octa-Core-Smartphone/dp/B01D4Z97UG,2.9,11,122.99,prod_imgs/B01D4Z97UG.jpg
Samsung,Samsung Galaxy S6 SM-G920A 32GB White Smartphone for AT&T (Renewed),https://www.amazon.com/Samsung-Galaxy-SM-G920A-Smartphone-Renewed/dp/B01D53A7KG,3.6,139,129.0,prod_imgs/B01D53A7KG.jpg
Samsung,"Samsung Galaxy S5 G900A Factory Unlocked Cellphone, Android 16GB, Gold",https://www.amazon.com/Samsung-Factory-Unlocked-Cellphone-Android/dp/B01DL9TVW4,3.2,1,210.99,prod_imgs/B01DL9TVW4.jpg
Samsung,Samsung Galaxy S7 32GB G930V Unlocked - Black,https://www.amazon.com/Samsung-Galaxy-S7-G930V-Unlocked/dp/B01DZ2CS4U,3.2,250,275.99,prod_imgs/B01DZ2CS4U.jpg
Samsung,Samsung Galaxy J1 Mini 8GB J106H/DS Dual Sim Unlocked Phone - Retail Packaging- Black,https://www.amazon.com/Samsung-Galaxy-J106H-Unlocked-Phone/dp/B01EIVMETG,3.2,169,104.9,prod_imgs/B01EIVMETG.jpg
Samsung,"Samsung Galaxy J3, Verizon LTE Prepaid (Black)",https://www.amazon.com/Samsung-Galaxy-Verizon-Prepaid-Black/dp/B01F5FYXNO,3.6,91,139.97,prod_imgs/B01F5FYXNO.jpg
Samsung,Samsung Galaxy S7 Edge G935A 32GB AT&T - Black Onyx,https://www.amazon.com/Samsung-Galaxy-Edge-G935A-32GB/dp/B01FCFZS3G,3.5,211,289.44,prod_imgs/B01FCFZS3G.jpg
Sony,"Sony Xperia XA Ultra (F3213) 4G LTE Unlocked GSM Phone w/ 6” Borderless Display, 21.5MP+16MP Cameras, Octa-Core CPU - White",https://www.amazon.com/Sony-Xperia-unlocked-smartphone-Warranty/dp/B01FJT7E3M,3.6,441,119.99,prod_imgs/B01FJT7E3M.jpg
Sony,Sony Xperia X Performance F8131 32GB Unlocked GSM LTE Android Phone w/ 23MP Camera - Black,https://www.amazon.com/Sony-Performance-unlocked-smartphone-Warranty/dp/B01FJT7MZC,3.9,117,169.0,prod_imgs/B01FJT7MZC.jpg
Sony,Sony Xperia X F5121 32GB GSM 23MP Camera Phone - Graphite Black,https://www.amazon.com/Sony-Xperia-F5121-Camera-Phone/dp/B01FJT7N4W,3.8,200,199.99,prod_imgs/B01FJT7N4W.jpg
Samsung,Samsung Galaxy Amp 2 - Cricket,https://www.amazon.com/Samsung-Galaxy-Amp-2-Cricket/dp/B01GP2XIJQ,3.9,11,199.99,prod_imgs/B01GP2XIJQ.jpg
Apple,"Apple iPhone SE, 16GB, Rose Gold - For AT&T / T-Mobile (Renewed)",https://www.amazon.com/Apple-iPhone-Unlocked-Phone-16GB/dp/B01GXAT0CE,3.8,2,133.55,prod_imgs/B01GXAT0CE.jpg
Samsung,Samsung Galaxy S6 G920V 32GB Verizon 4G LTE Smartphone W/ 16MP Camera - White,https://www.amazon.com/Samsung-Galaxy-Verizon-Smartphone-Camera/dp/B01HFK15BU,3.4,45,257.98,prod_imgs/B01HFK15BU.jpg
Motorola,Motorola Droid MAXX XT1080M 16GB Red Verizon and GSM Unlocked (Renewed),https://www.amazon.com/Motorola-XT1080M-Unlocked-Certified-Refurbished/dp/B01HFLRS38,3.4,15,134.99,prod_imgs/B01HFLRS38.jpg
Samsung,"Samsung Galaxy S7 G930V 32GB, Verizon, Black Onyx, Unlocked Smartphones (Renewed)",https://www.amazon.com/Samsung-G930V-Smartphones-Certified-Refurbished/dp/B01HTZ4T8C,3.7,190,145.0,prod_imgs/B01HTZ4T8C.jpg
Motorola,motorola G4 16GB Smartphone,https://www.amazon.com/Motorola-00991NARTL-Moto-Unlocked-Black/dp/B01INV912A,3.0,1,206.95,prod_imgs/B01INV912A.jpg
Samsung,"Samsung GS6 5.1"" Certified Pre-Owned Carrier Locked Phone - 32GB - White (Verizon)",https://www.amazon.com/Samsung-Certified-Pre-Owned-Carrier-Locked/dp/B01J63O3KY,2.9,2,345.92,prod_imgs/B01J63O3KY.jpg
